AÑO,CVU (a partir de 2003),EXPEDIENTE,NOMBRE DE LA INVESTIGADORA O INVESTIGADOR,NOBILIS,NIVEL,FECHA DE INICIO DE VIGENCIA,FECHA DE FIN DE VIGENCIA,ÁREA DEL CONOCIMIENTO,DISCIPLINA (a partir de 1991),SUBDISCIPLINA (a partir de 1991),ESPECIALIDAD (a partir de 1991),INSTITUCIÓN DE ADSCRIPCIÓN (a partir de 1990),DEPENDENCIA (a partir de 1991),"ENTIDAD FEDERATIVA ADSCRIPCIÓN
(a partir de 1990)","PAIS ADSCRIPCIÓN 
(a partir de 1990)"
2006,37269,35117,"ABARCA ROJANO, EDGAR",DR.,C,1/1/2006,12/31/2008,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS Y SERVICIOS DE LA SALUD,INMUNOLOG-A,INSTITUTO POLITÉCNICO NACIONAL,ESCUELA SUPERIOR DE MEDICINA,CIUDAD DE MÉXICO,MÉXICO
2006,21747,21747,"ABBUD LOZOYA, KARIN AYME",DRA.,1,1/1/2004,12/31/2006,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,ANATOMIA,METABOLISMO DE HUESO Y CARTILAGO,SECRETARIA DE SALUD,No Disponible,CIUDAD DE MÉXICO,MÉXICO
2006,19177,19177,"ABDULLAEV JAFAROVA, FIKRAT",DR.,2,1/1/2005,12/31/2008,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOQUIMICA,"BUSQUEDA E INVESTIGACION DE SUSTANCIAS ANTITUMORALES,NATURAL",SECRETARIA DE SALUD,INSTITUTO NACIONAL DE PEDIATRIA,CIUDAD DE MÉXICO,MÉXICO
2006,13070,13070,"ABITIA CARDENAS, LEONARDO ANDRES",DR.,1,1/1/2006,12/31/2009,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,PESCA,DINAMICA DE POBLACION,TAXONOMIA Y ECOLOGIA DE PECES,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
2006,5885,5885,"ABOITES AGUILAR, JAIME",DR.,3,1/1/2005,12/31/2009,V.- CIENCIAS SOCIALES,ECONOMIA,ECONOMIA INDUSTRIAL,DESARROLLO TECNOLOGICO,UNIVERSIDAD AUTONOMA METROPOLITANA,DIVISION DE CIENCIAS SOCIALES Y HUMANIDADES. XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2006,8479,8479,"ABOITES AGUILAR, LUIS",DR.,2,1/1/2005,12/31/2009,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,HISTORIA DE LOS APROVECHAMIENTOS HIDRAULICOS,"EL COLEGIO DE MEXICO, A.C.",CENTRO DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2006,10132,10132,"ABOITES MANRIQUE, GILBERTO",DR.,1,1/1/2005,12/31/2008,V.- CIENCIAS SOCIALES,SOCIOLOGIA,SOCIOLOGIA RURAL,,UNIVERSIDAD AUTONOMA DE COAHUILA,No Disponible,COAHUILA DE ZARAGOZA,MÉXICO
2006,4341,4341,"ABOITES MANRIQUE, VICENTE",DR.,2,1/1/2006,12/31/2010,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,OPTICA,LASERES Y OPTO-ELECTRONICA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C. (CIO)",AREA DE INVESTIGACION,GUANAJUATO,MÉXICO
2006,2383,2383,"ABREU GROBOIS, FEDERICO ALBERTO",DR.,1,1/1/2004,12/31/2006,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,GENETICA,GENETICA DE POBLACIONES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGIA,SINALOA,MÉXICO
2006,21903,21903,"ABUD ARCHILA, MIGUEL",DR.,1,1/1/2006,12/31/2008,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,AGRONOMIA,TRATAMIENTOS POST-COSECHA DE ALIMENTOS CON ENFASIS EN SECADO,TECNOLÓGICO NACIONAL DE MÉXICO,INSTITUTO TECNOLÓGICO DE TUXTLA GUTIERREZ,CHIAPAS,MÉXICO
2006,21717,21717,"ABURTO ANELL, JORGE ARTURO",DR.,1,1/1/2006,12/31/2008,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA,"POL-MEROS NATURALES, RECONOCIMIENTO MOLECULAR Y BIOCAT-LISIS",INSTITUTO MEXICANO DEL PETROLEO,DIRECCION EJECUTIVA DE INVESTIGACION Y POSGRADO,CIUDAD DE MÉXICO,MÉXICO
2006,25662,25662,"ABURTO ESPINA, ANDREA LUISA",DRA.,C,1/1/2006,12/31/2006,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA,FISICA DEL ESTADO SOLIDO,ESTRUCTURA ELECTRONICA DE SOLIDOS Y SUPERCONDUCTIVIDAD,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE CIENCIAS,CIUDAD DE MÉXICO,MÉXICO
2006,120798,21021,"ABURTO OROPEZA, MARCO OCTAVIO",DR.,C,1/1/2006,12/31/2008,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,BIOLOGIA MARINA,ECOLOGIA DE PECES,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,AREA INTERDISCIPLINARIA DE CIENCIAS DEL MAR,BAJA CALIFORNIA SUR,MÉXICO
2006,121526,32782,"ACCINELLI GAMBA, ELVIO",DR.,2,1/1/2006,12/31/2009,V.- CIENCIAS SOCIALES,ECONOMIA,TEORIA ECONOMICA,ECONOMIA MATEMATICA,UNIVERSIDAD AUTONOMA METROPOLITANA,UNIDAD XOCHIMILCO,CIUDAD DE MÉXICO,MÉXICO
2006,25262,25262,"ACEVEDO ARTEAGA, LAURA ALICIA",M. EN C.,C,1/1/2006,12/31/2006,II.- BIOLOGÍA Y QUÍMICA,QUIMICA,QUIMICA,PRODUCTOS NATURALES,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FACULTAD DE QUIMICA,CIUDAD DE MÉXICO,MÉXICO
2006,7307,7307,"ACEVEDO CONTLA, PEDRO JESUS",DR.,1,1/1/2004,12/31/2007,VII.- INGENIERÍAS ,INGENIERIA DE COM. ELECT. Y CONTROL,COMPUTACION,OBTENCION DE IMAGENES POR ULTRASONIDO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE INVESTIGACIONES EN MATEMATICAS APLICADAS..IIMAS,CIUDAD DE MÉXICO,MÉXICO
2006,30438,30438,"ACEVEDO FERNANDEZ, JUAN JOSE",DR.,C,1/1/2004,12/31/2006,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD Y AMBIENTE,FISIOLOGIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,FACULTAD DE MEDICINA,MORELOS,MÉXICO
2006,31844,31844,"ACEVEDO GASMAN, FRANCISCA MARIA JOSE",DRA.,C,1/1/2004,12/31/2006,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,GENETICA AGRONOMICA,BIOSEGURIDAD,COMISION NACIONAL PARA EL CONOCIMIENTO Y USO DE LA BIODIVERSIDAD,No Disponible,CIUDAD DE MÉXICO,MÉXICO
2006,123260,35166,"ACEVEDO HERNANDEZ, GUSTAVO JAVIER",DR.,C,1/1/2006,12/31/2008,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,BIOTECNOLOGIA,BIOTECNOLOGIA AGRICOLA,BIOLOGIA MOLECULAR,"CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO, A.C. (CIATEJ)",UNIDAD IRAPUATO,GUANAJUATO,MÉXICO
2006,33929,19149,"ACEVEDO MASCARUA, JOAQUIN",DR.,1,1/1/2006,12/31/2008,VII.- INGENIERÍAS ,INGENIERIA QUIMICA,PROCESO,SINTESIS Y DISEÑO DE PROCESOS POR COMPUTADORA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS MONTERREY,NUEVO LEÓN,MÉXICO
2006,39375,34579,"ACEVEDO RODRIGO, ARIADNA MARIA",DRA.,C,1/1/2006,12/31/2008,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA SOCIAL,"HISTORIA DE LA EDUCACION, 1876-1940.",UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DEPTO. DE INVESTIGACIONES EDUCATIVAS,TAMAULIPAS,MÉXICO
2006,20152,20152,"ACEVEDO SANDOVAL, OTILIO ARTURO",DR.,1,1/1/2005,12/31/2007,VI.- BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS,AGRONOMIA,EDAFOLOGIA,"GENESIS Y CLASIFICACION DE SUELOS, MINERALOGIA DE LA FRACCIO",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,INSTITUTO DE INVESTIGACIONES EN CIENCIAS DE LA TIERRA,HIDALGO,MÉXICO
2006,3952,3952,"ACEVEDO VALDES, MARIA ESTHER",DRA.,2,1/1/2005,12/31/2009,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,HISTORIA,HISTORIA DEL ARTE,SIGLO XIX Y XX MEXICANO,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA (INAH),DIRECCION DE ESTUDIOS HISTORICOS,CIUDAD DE MÉXICO,MÉXICO
2006,4284,4284,"ACEVEDO VALERIO, VICTOR ANTONIO",DR.,1,1/1/2006,12/31/2009,V.- CIENCIAS SOCIALES,ECONOMIA,DESARROLLO ECONOMICO REGIONAL,DESARROLLO REGIONAL Y SECTORIAL,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,FACULTAD DE ECONOMIA,MICHOACÁN DE OCAMPO,MÉXICO
2006,21506,21506,"ACEVES AVILA, FRANCISCO JAVIER",DR.,1,1/1/2004,12/31/2006,III.- MEDICINA Y CIENCIAS DE LA SALUD,MEDICINA,REUMATOLOGIA,REUMATOLOGIA,INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL GENERAL DE ZONA 46,JALISCO,MÉXICO
2006,22379,22379,"ACEVES CAMPOS, HECTOR",DR.,1,1/1/2005,12/31/2007,I.- FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ASTRONOMIA,ASTROFISICA,DINAMICA ESTELAR,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,INSTITUTO DE ASTRONOMIA,BAJA CALIFORNIA,MÉXICO
2006,13947,13947,"ACEVES GONZALEZ, FRANCISCO DE JESUS",DR.,1,1/1/2005,12/31/2008,V.- CIENCIAS SOCIALES,COMUNICACION,COMUNICACIONES MASIVAS,COMUNICACION POLITICA,UNIVERSIDAD DE GUADALAJARA,CENTRO UNIVERSITARIO DE LA CIENEGA,JALISCO,MÉXICO
2006,120834,21719,"ACEVES LOPEZ, ALEJANDRO",DR.,C,1/1/2006,12/31/2008,VII.- INGENIERÍAS ,INGENIERIA ELECTRICA,AUTOMATIZACION Y CONTROL,CONTROL DIFUSO,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CAMPUS ESTADO DE MEXICO,MÉXICO,MÉXICO
2006,12956,12956,"ACEVES LOZANO, JORGE EDUARDO",DR.,2,1/1/2004,12/31/2008,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,ANTROPOLOGIA URBANA Y ESTUDIOS CULTURALES,"CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL, (CIESAS)",UNIDAD OCCIDENTE,JALISCO,MÉXICO
2006,120941,26150,"ACEVES MEDINA, GERARDO",DR.,C,1/1/2005,12/31/2007,II.- BIOLOGÍA Y QUÍMICA,BIOLOGIA,ECOLOGIA,ECOLOGIA MARINA,INSTITUTO POLITÉCNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,BAJA CALIFORNIA SUR,MÉXICO
